Amazon Web Services (AWS),m6in.xlarge,4,16,EBS-Only,30,8.6263,Northeastern United States
Amazon Web Services (AWS),m6in.large,2,8,EBS-Only,25,4.3141,Western United States
Amazon Web Services (AWS),m6in.large,2,8,EBS-Only,25,4.3141,Western United States
