Amazon Web Services (AWS),inf2.xlarge,4,16,EBS-Only,15,3.4560,Southeastern United States
Amazon Web Services (AWS),inf2.8xlarge,32,128,EBS-Only,25,28.3200,Southeastern United States
Amazon Web Services (AWS),inf2.24xlarge,96,384,EBS-Only,50,71.3760,Southeastern United States
Amazon Web Services (AWS),inf2.48xlarge,192,768,EBS-Only,100,131.3760,Southeastern United States
Amazon Web Services (AWS),m5.large,2,8,EBS-Only,10,4.5120,Northeastern United States
Amazon Web Services (AWS),m5.xlarge,4,16,EBS-Only,10,9.0240,Northeastern United States
Amazon Web Services (AWS),m5.2xlarge,8,32,EBS-Only,10,14.6400,Northeastern United States
Amazon Web Services (AWS),m5.4xlarge,16,64,EBS-Only,10,29.2800,Northeastern United States
Amazon Web Services (AWS),m5.8xlarge,32,128,EBS Only,10,58.5600,Northeastern United States
Amazon Web Services (AWS),m5.12xlarge,48,192,EBS-Only,12,87.8400,Northeastern United States
Amazon Web Services (AWS),m5.16xlarge,64,256,EBS Only,20,117.0960,Northeastern United States
Amazon Web Services (AWS),m5.24xlarge,96,384,EBS-Only,25,175.6560,Northeastern United States
Amazon Web Services (AWS),m5.metal,96,384,EBS-Only,25,175.6560,Northeastern United States
Amazon Web Services (AWS),m5.12xlarge,48,192,EBS-Only,12,87.8400,Southeastern United States
Amazon Web Services (AWS),m5.16xlarge,64,256,EBS Only,20,117.0960,Southeastern United States
Amazon Web Services (AWS),m5.24xlarge,96,384,EBS-Only,25,175.6560,Southeastern United States
Amazon Web Services (AWS),m5.metal,96,384,EBS-Only,25,175.6560,Southeastern United States
Amazon Web Services (AWS),m5d.xlarge,4,16,1x150 NVMe SSD,10,7.8240,Western United States
Amazon Web Services (AWS),m5d.2xlarge,8,32,1x300 NVMe SSD,10,15.6720,Western United States
Amazon Web Services (AWS),m5d.4xlarge,16,64,2x300 NVMe SSD,10,31.3440,Western United States
Amazon Web Services (AWS),m5d.8xlarge,32,128,2x600 NVMe SSD,10,62.6640,Western United States
Amazon Web Services (AWS),m5d.12xlarge,48,192,2x900 NVMe SSD,12,94.0080,Western United States
Amazon Web Services (AWS),m5d.16xlarge,64,256,4x600 NVMe SSD,20,125.3280,Western United States
Amazon Web Services (AWS),m5d.24xlarge,96,384,4x900 NVMe SSD,25,187.9920,Western United States
Amazon Web Services (AWS),m5d.metal,96,384,4x900 NVMe SSD,25,187.9920,Western United States
Amazon Web Services (AWS),m5d.large,2,8,1x75 NVMe SSD,10,3.9120,Southwestern United States
Amazon Web Services (AWS),m5d.xlarge,4,16,1x150 NVMe SSD,10,7.8240,Southwestern United States
Amazon Web Services (AWS),m5d.2xlarge,8,32,1x300 NVMe SSD,10,15.6720,Southwestern United States
Amazon Web Services (AWS),m5d.4xlarge,16,64,2x300 NVMe SSD,10,31.3440,Southwestern United States
Amazon Web Services (AWS),m5d.8xlarge,32,128,2x600 NVMe SSD,10,62.6640,Southwestern United States
Amazon Web Services (AWS),m5d.12xlarge,48,192,2x900 NVMe SSD,12,94.0080,Northeastern United States
Amazon Web Services (AWS),m5d.16xlarge,64,256,4x600 NVMe SSD,20,125.3280,Northeastern United States
Amazon Web Services (AWS),m5d.24xlarge,96,384,4x900 NVMe SSD,25,187.9920,Northeastern United States
Amazon Web Services (AWS),m5d.metal,96,384,4x900 NVMe SSD,25,187.9920,Northeastern United States
Microsoft Azure,B4ms,4,16,EBS-Only,12.5,3.984,Western United States
Microsoft Azure,F4s v2,4,8,EBS-Only,12.5,4.056,Western United States
Google Cloud Platform (GCP),e2-standard-4,4,16,EBS-Only,12.5,3.62208,Western United States
Google Cloud Platform (GCP),c2-standard-4,4,16,EBS-Only,12.5,5.6424,Western United States
Oracle,VM.Standard3.Flex,4,16,EBS-Only,12.5,4.416,Western United States
Oracle,VM.Optimized3.Flex,4,8,EBS-Only,12.5,5.472,Western United States
Microsoft Azure,B4ms,4,16,EBS-Only,12.5,3.984,Northeastern United States
Microsoft Azure,F4s v2,4,8,EBS-Only,12.5,4.056,Northeastern United States
Google Cloud Platform (GCP),e2-standard-4,4,16,EBS-Only,12.5,3.62208,Northeastern United States
Google Cloud Platform (GCP),c2-standard-4,4,16,EBS-Only,12.5,5.6424,Northeastern United States
Oracle,VM.Standard3.Flex,4,16,EBS-Only,12.5,4.416,Northeastern United States
Oracle,VM.Optimized3.Flex,4,8,EBS-Only,12.5,5.472,Northeastern United States
Microsoft Azure,B4ms,4,16,EBS-Only,12.5,3.984,Southeastern United States
Microsoft Azure,F4s v2,4,8,EBS-Only,12.5,4.056,Southeastern United States
Google Cloud Platform (GCP),e2-standard-4,4,16,EBS-Only,12.5,3.62208,Southeastern United States
Google Cloud Platform (GCP),c2-standard-4,4,16,EBS-Only,12.5,5.6424,Southeastern United States
